index,district_name,district_code_census,district_name_english
0,अमरोहा,137,Amroha
1,अमेठी,203,Amethi
2,अम्बेडकरनगर,178,Ambedkarnagar
3,अयोध्या,177,Ayodhya
4,अलीगढ़,143,Aligarh
5,आगरा,146,Agra
6,आजमगढ,191,Azamgarh
7,इटावा,161,Etawah
8,उन्नाव,156,Unnao
9,एटा,201,Etah
10,औरैया,162,Auraya
11,कन्नौज,160,Kannauj
12,कानपुर देहात,163,Kanpurdehat
13,कानपुर नगर,164,Kanpurnagar
14,कासगंज,202,Kasganj
15,कुशीनगर,189,Kushinagar
16,कौशाम्बी,174,Kaushambhi
17,खीरी,153,Kheri
18,गाजियाबाद,140,Ghaziabad
19,गाजीपुर,195,Ghazipur
20,गोरखपुर,188,Gorakhpur
21,गोंडा,183,Gonda
22,गौतम बुद्ध नगर,141,Gbnagar
23,चन्दौली,196,Chandauli
24,चित्रकूट,171,Chitrakoot
25,जालौन,165,Jalaun
26,जौनपुर,194,Jaunpur
27,झांसी,166,Jhansi
28,देवरिया,190,Deoria
29,पीलीभीत,151,Pilibhit
30,प्रतापगढ,173,Pratapgarh
31,प्रयागराज,175,Prayagraj
32,फतेहपुर,172,Fatehpur
33,फर्रूखाबाद,159,Farrukhabad
34,फिरोजाबाद,147,Firozabad
35,बदायूँ,149,Badaun
36,बरेली,150,Bareilly
37,बलरामपुर,182,Balrampur
38,बलिया,193,Ballia
39,बस्ती,185,Basti
40,बहराइच,180,Behraich
41,बागपत,139,Bagpat
42,बाराबंकी,176,Barabanki
43,बाँदा,170,Banda
44,बिजनौर,134,Bijnor
45,बुलन्द शहर,142,Bulandshahar
46,भदोही,198,Bhadohi
47,मऊ,192,Mau
48,मथुरा,145,Mathura
49,महाराजगंज,187,Maharajganj
50,महोबा,169,Mahoba
51,मिर्जापुर,199,Mirzapur
52,मुजफफर नगर,133,Muzaffarnagar
53,मुरादाबाद,135,Moradabad
54,मेरठ,138,Meerut
55,मैनपुरी,148,Mainpuri
56,रामपुर,136,Rampur
57,रायबरेली,158,Raebareli
58,लखनऊ,157,Lucknow
59,ललितपुर,167,Lalitpur
60,वाराणसी,197,Varanasi
61,शामली,206,Shamli
62,शाहजहांपुर,152,Shahjahanpur
63,श्रावस्ती,181,Shravasti
64,सन्तकबीर नगर,186,Santkabirnagar
65,सम्भल,205,Sambhal
66,सहारनपुर,132,Saharanpur
67,सिद्धार्थनगर,184,Sidharthnagar
68,सीतापुर,154,Sitapur
69,सुल्तानपुर,179,Sultanpur
70,सोनभद्र,200,Sonbhadra
71,हमीरपुर,168,Hamirpur
72,हरदोई,155,Hardoi
73,हाथरस,144,Hathras
74,हापुड़,204,Hapur